recorded_at,value_usd,twenty_four_hour_trading_volume_usd,SMA_100,SMA_200,EMA_50,EMA_100,VWAP,OBV,RSI,EMA_12,EMA_26,MACD,MACD_Signal,Bollinger_Mid,Bollinger_Std,Bollinger_Upper,Bollinger_Lower,High_Low,High_Close,Low_Close,True_Range,ATR,Money_Flow_Multiplier,Money_Flow_Volume,CMF,Lowest_Low,Highest_High,%K,%D
2024-05-03 00:00:00+00:00,62839.34073569376,28255509745.49032,,,62839.34073569376,62839.34073569376,62839.34073569376,0.0,50.0,62839.34073569376,62839.34073569376,0.0,0.0,,,,,0.0,,,0.0,,,,,,,,
2024-05-04 00:00:00+00:00,63329.89631930937,33591665812.212433,,,62858.57820956104,62849.054707646545,63105.78102303972,33591665812.212433,50.0,62914.810825480774,62875.67818633195,39.13263914882555,7.8265278297651095,,,,,0.0,490.5555836156127,490.5555836156127,490.5555836156127,,,,,,,,
2024-05-05 00:00:00+00:00,63556.60043024255,20510614461.479218,,,62885.95162997993,62863.065514034584,63218.0543495913,54102280273.69165,50.0,63013.547687751816,62926.116871066064,87.43081668575178,23.747385600962442,,,,,0.0,226.7041109331767,226.7041109331767,226.7041109331767,,,,,,,,
2024-05-06 00:00:00+00:00,63667.64728351578,18115695040.201984,,,62916.60636149114,62878.99782630154,63299.11741292977,72217975313.89363,50.0,63114.17839479243,62981.04504976604,133.13334502638463,45.62457748604688,,,,,0.0,111.04685327322659,111.04685327322659,111.04685327322659,,,,,,,,
2024-05-07 00:00:00+00:00,63181.84904644699,17917770174.27797,,,62927.008035410974,62884.9948801658,63281.36958488956,54300205139.61566,50.0,63124.58926427775,62995.91941989055,128.66984438719373,62.23363086627626,,,,,0.0,485.7982370687896,485.7982370687896,485.7982370687896,,,,,,,,
2024-05-08 00:00:00+00:00,62250.34749867465,19925137720.849453,,,62900.472328087984,62872.42760528479,63132.84592386678,34375067418.766205,50.0,62990.090531108035,62940.69187017086,49.39866093717865,59.666636880456736,,,,,0.0,931.5015477723355,931.5015477723355,931.5015477723355,,,,,,,,
2024-05-09 00:00:00+00:00,62242.38704786919,20303831135.373127,,,62874.665062197055,62859.9515546429,63018.864703912106,14071236283.393078,50.0,62875.059225994366,62888.9655870374,-13.906361043031211,44.952037295759155,,,,,0.0,7.960450805461733,7.960450805461733,7.960450805461733,,,,,,,,
2024-05-10 00:00:00+00:00,61750.77356715351,25837724247.550426,,,62830.590885920836,62837.98763409856,62841.23837006395,-11766487964.157349,50.0,62702.092201557316,62804.655067046,-102.56286548868229,15.449056738870862,,,,,0.0,491.6134807156777,491.6134807156777,491.6134807156777,,,,,,,,
2024-05-11 00:00:00+00:00,61604.596257280245,23987518755.480534,,,62782.51266518984,62813.56404247839,62698.927883355245,-35754006719.63788,50.0,62533.24667166854,62715.761821878164,-182.51515020962688,-24.143784650828685,,,,,0.0,146.1773098732665,146.1773098732665,146.1773098732665,,,,,,,,
2024-05-12 00:00:00+00:00,61057.41427762168,12120618802.065384,,,62714.8617480303,62778.788799609945,62608.7228974311,-47874625521.70326,50.0,62306.19553412287,62592.92126304435,-286.7257289214831,-76.66017350495957,,,,,0.0,547.1819796585623,547.1819796585623,547.1819796585623,,,,,,,,
